"flux","G variance","E variance","G-by-E varicane","residual","G%","E%","GxE%","e%","h2"
"X189","0.000257948714686338","0.0012048548045845","0.000203077671050843","0.000248795480230945","0.13472181421205","0.629273246556426","0.106063689067789","0.129941250163735","0.159876195398433"
"X190","2.46292479681497e-06","4.04351041628328e-06","8.85468592331578e-06","2.96311487691347e-06","0.134408048173121","0.220664611247223","0.483222652059034","0.161704688520621","0.235783555980325"
"X191","2.46292479681497e-06","4.04351041628328e-06","8.85468592331578e-06","2.96311487691347e-06","0.134408048173121","0.220664611247223","0.483222652059034","0.161704688520621","0.235783555980325"
"X192","0.000612502743047726","0.00321028011300655","0.000516258245061123","0.000602207285545622","0.123957084347589","0.649690090802307","0.104479314671728","0.121873510178377","0.145986761600205"
"X193","0.000612502743047726","0.00321028011300655","0.000516258245061123","0.000602207285545622","0.123957084347589","0.649690090802307","0.104479314671728","0.121873510178377","0.145986761600205"
"X194","0.000612502743047726","0.00321028011300655","0.000516258245061123","0.000602207285545622","0.123957084347589","0.649690090802307","0.104479314671728","0.121873510178377","0.145986761600205"
"X195","2.46292479681497e-06","4.04351041628328e-06","8.85468592331578e-06","2.96311487691347e-06","0.134408048173121","0.220664611247223","0.483222652059034","0.161704688520621","0.235783555980325"
"X196","7.0342867848885","25.1352001300127","6.85163917155928","7.65355501715507","0.150708834395091","0.538518947225665","0.146795629012418","0.163976589366825","0.190092474365629"
"X197","6.90015607658857","24.574096080766","7.36601131885583","6.93523024247519","0.150739085830371","0.536839563802123","0.160916043071514","0.151505307295992","0.190394656232266"
"X198","0.000151082477647682","0.000687390091529317","0.00012769617144114","0.000136286333524147","0.137041845233671","0.623508483612458","0.115828911704623","0.123620759449249","0.163073828268858"
"X199","0.000151082477647682","0.000687390091529317","0.00012769617144114","0.000136286333524147","0.137041845233671","0.623508483612458","0.115828911704623","0.123620759449249","0.163073828268858"
"X200","0.000151082477647682","0.000687390091529317","0.00012769617144114","0.000136286333524147","0.137041845233671","0.623508483612458","0.115828911704623","0.123620759449249","0.163073828268858"
"X201","0.133867589030396","0.491787160686748","0.097695361822445","0.122101731157709","0.158338514708667","0.581685597984823","0.115554023172699","0.144421864133811","0.191534801325035"
"X202","1.67616875555094e-05","7.72372646207256e-05","1.36316770628793e-05","1.59585756565478e-05","0.135624204150032","0.624951545613808","0.110298282721275","0.129125967514886","0.161383642564249"
"X203","1.67616875555094e-05","7.72372646207256e-05","1.36316770628793e-05","1.59585756565478e-05","0.135624204150032","0.624951545613808","0.110298282721275","0.129125967514886","0.161383642564249"
"X204","1.67616875555094e-05","7.72372646207256e-05","1.36316770628793e-05","1.59585756565478e-05","0.135624204150032","0.624951545613808","0.110298282721275","0.129125967514886","0.161383642564249"
"X205","1.67616875555094e-05","7.72372646207256e-05","1.36316770628793e-05","1.59585756565478e-05","0.135624204150032","0.624951545613808","0.110298282721275","0.129125967514886","0.161383642564249"
"X206","1.67616875555094e-05","7.72372646207256e-05","1.36316770628793e-05","1.59585756565478e-05","0.135624204150032","0.624951545613808","0.110298282721275","0.129125967514886","0.161383642564249"
"X207","1.67616875555094e-05","7.72372646207256e-05","1.36316770628793e-05","1.59585756565478e-05","0.135624204150032","0.624951545613808","0.110298282721275","0.129125967514886","0.161383642564249"
"X208","0.000131726493793125","0.000606090667317063","9.19462697003559e-05","0.000134123213884206","0.13666181030534","0.628798698117665","0.0953911647250534","0.139148326851941","0.161990606655493"
"X209","0.00124945329675402","0.00574788782636992","0.0010045055665284","0.00117303924422856","0.136181888882134","0.626480576193781","0.10948425667277","0.127853278251316","0.161779445396691"
"X210","2.56770508013169e-07","9.94746581384851e-07","1.65873197815169e-07","2.46345134135955e-07","0.154333738837483","0.597899502901849","0.0996992644904202","0.148067493770248","0.184870198729651"
"X211","2.56770508013169e-07","9.94746581384851e-07","1.65873197815169e-07","2.46345134135955e-07","0.154333738837483","0.597899502901849","0.0996992644904202","0.148067493770248","0.184870198729651"
"X212","2.56770508013169e-07","9.94746581384851e-07","1.65873197815169e-07","2.46345134135955e-07","0.154333738837483","0.597899502901849","0.0996992644904202","0.148067493770248","0.184870198729651"
"X213","2.5679129749628e-07","9.95536223948407e-07","1.65486985721709e-07","2.46716618069815e-07","0.154272451624982","0.598088079492735","0.0994195802125509","0.148219888669732","0.184778002570029"
"X214","2.5679129749628e-07","9.95536223948407e-07","1.65486985721709e-07","2.46716618069815e-07","0.154272451624982","0.598088079492735","0.0994195802125509","0.148219888669732","0.184778002570029"
"X215","2.5679129749628e-07","9.95536223948407e-07","1.65486985721709e-07","2.46716618069815e-07","0.154272451624982","0.598088079492735","0.0994195802125509","0.148219888669732","0.184778002570029"
"X216","2.5679129749628e-07","9.95536223948407e-07","1.65486985721709e-07","2.46716618069815e-07","0.154272451624982","0.598088079492735","0.0994195802125509","0.148219888669732","0.184778002570029"
"X217","2.5679129749628e-07","9.95536223948407e-07","1.65486985721709e-07","2.46716618069815e-07","0.154272451624982","0.598088079492735","0.0994195802125509","0.148219888669732","0.184778002570029"
"X218","7.27109305800798e-05","0.000325712167990566","5.57599229728924e-05","6.93605939353128e-05","0.138882279203378","0.622129958919771","0.10650482848863","0.132482933388221","0.165203328331793"
"X219","7.27109305800798e-05","0.000325712167990566","5.57599229728924e-05","6.93605939353128e-05","0.138882279203378","0.622129958919771","0.10650482848863","0.132482933388221","0.165203328331793"
"X220","3.70770086057927e-08","1.4374553094585e-07","2.37965618289832e-08","3.57198248484262e-08","0.154269677357454","0.598095086806101","0.0990125162093142","0.148622719627131","0.184774055177713"
"X221","3.70770086057927e-08","1.4374553094585e-07","2.37965618289832e-08","3.57198248484262e-08","0.154269677357454","0.598095086806101","0.0990125162093142","0.148622719627131","0.184774055177713"
"X222","3.70769513672415e-08","1.43727460517934e-07","2.37782309678016e-08","3.57382784937869e-08","0.154280997091145","0.598064703282935","0.0989436576497287","0.148710641976191","0.184790426132011"
